"","Yuca Martes","Yuca Jueves","Yuca Viernes","Plátano Martes","Plátano Jueves","Plátano Viernes","Papa Martes","Papa Jueves","Papa Viernes","Piña Martes","Piña Jueves","Piña Viernes","Naranja Martes","Naranja Jueves","Naranja Viernes","Mandarina Martes","Mandarina Jueves","Mandarina Viernes","Banano Martes","Banano Jueves","Banano Viernes","Tomate Martes","Tomate Jueves","Tomate Viernes"
"287",952,883,836.459770114943,1160,1167,1303.33333333333,1400,1258,1298.65517241379,617,617,618.706896551724,400,440,428.390804597701,685,728,667.701149425287,1575,1575,1608.44827586207,1705,1295,1331.90229885057
"288",833,744,774,1320,1440,1393,1400,1330,1330,617,617,617,480,480,480,674,674,696,1625,1625,1613,1114,1114,1259
"289",893,903,952,1400,1440,1440,1223,1242,1250,575,575,575,430,440,440,565,641,641,1625,1625,1625,1364,1784,2273
"290",774,1012,952,1440,1520,1440,1220,1250,1250,575,650,650,470,500,500,674,739,739,1625,1625,1525,1932,1705,1591
"291",946.477011494253,1131,1069,1487.81609195402,1600,1520,1284.36781609195,1360,1360,630.436781609195,650,650,490.402298850575,490,490,717.045977011494,674,761,1591.81034482759,1625,1625,1644.24137931034,1182,1250
"292",893,714,655,1520,1400,1400,1380,1230,1180,633,633,633,540,500,500,826,717,717,1550,1550,1550,2170,1676,1705
"293",893,893,774,1520,1520,1520,1030,1020,1020,633,633,633,500,500,500,826,826,826,1550,1550,1550,2159,2159,1892
"294",774,774,774,1600,1600,1600,1030,1070,1070,667,667,667,500,500,500,957,913,826,1650,1650,1650,1922,1920,1818
"295",759,774,774,1440,1440,1440,1100,1100,1100,667,667,667,500,540,540,978,1261,1261,1550,1550,1550,1364,1932,1773
"296",833,774,774,1680,1680,1680,1100,1100,1100,667,667,667,620,620,620,1413,1413,1413,1850,1850,1725,1477,1318,1136
"297",952,774,774,1520,1600,1600,1130,1090,1090,667,633,633,640,660,660,1413,1413,1413,1725,1725,1625,1477,1250,1136
"298",833,833,833,1760,1760,1740,1090,1090,1090,633,633,633,700,760,760,1739,1957,1957,1625,1625,1625,1591,1705,1705
"299",774,774,774,1720,1720,1720,1090,1090,1090,633,633,633,840,940,840,2174,2174,2174,1850,1850,1625,1591,1977,2159
"300",774,774,774,1920,1920,1920,1090,1200,1200,667,667,667,960,960,960,2147.93137254902,2182.44155844156,2237.13432835821,1850,1850,1750,2841,2614,2500
"301",774,774,774,1880,1680,1680,1120,1150,1150,667,633,567,900,900,900,2315,2279.75,2272.7,1750,1600,1575,1932,1705,1705
"302",774,774,774,1680,1480,1480,1150,1150,1150,567,567,567,960,840,840,2268,2264.64285714286,2262.125,1750,1750,1750,1409,1250,1136
"303",774,786.291666666667,795.305555555556,1480,1604.72222222222,1640.83333333333,1150,1201.66666666667,1224.02777777778,600,593.881944444444,602.145833333333,880,920.277777777778,942.222222222222,2260.16666666667,2258.6,2257.31818181818,1750,1737.84722222222,1750,1705,1928.50694444444,2200.86805555556
"304",833,774,774,1760,1600,1760,1270,1270,1270,600,600,600,960,1000,1000,2256.25,2255.34615384615,2254.57142857143,1750,1750,1750,2159,2727,2841
"305",833,833,833,1760,1760,1760,1330,1220,1220,700,633,633,1000,1000,900,2253.9,2253.3125,2252.79411764706,1750,1750,1750,3295,3523,3523
"306",833,774,774,1760,1760,1760,1070,1020,1020,567,567,567,840,840,840,2252.33333333333,2251.92105263158,2251.55,1750,1750,1750,3182,3068,3068
"307",774,774,774,1600,1520,1520,960,900,900,567,567,567,900,840,760,2251.21428571429,2250.90909090909,2250.63043478261,1575,1575,1575,1932,1932,1705
